deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Augusto Carvalho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Augusto Coutinho,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Aureo,1            ,5,1            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Bacelar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,0            ,1            ,5,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Baleia Rossi,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Bebeto,5,0            ,1            ,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,1            ,0            ,5,0            ,0            ,5,5,5,1            ,4      ,5,5,1            ,1            ,1            ,4      ,4      
Benedita da Silva,3      ,5,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,5,3      ,5,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Benito Gama,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Benjamin Maranhão,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Betinho Gomes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Beto Faro,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,5,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Beto Mansur,1            ,0            ,6        ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,1            ,5,5,6        ,5,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Beto Rosado,1            ,0            ,5,0            ,0            ,0            ,0            ,5,5,1            ,5,5,1            ,0            ,5,0            ,1            ,0            ,5,1            ,5,5,5,5,0            ,1            ,0            ,1            ,5,5,5,5,5
Beto Salame,5,5,5,5,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,5,5,5,5,0            ,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Bilac Pinto,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Bohn Gass,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,3      ,3      ,0            
Bonifácio de Andrada,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Bosco Costa,0            ,1            ,0            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Bruna Furlan,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1            ,5,5,5,5,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            
Brunny,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,5,5,5,0            ,1            ,0            ,1            ,5,5,5,5,1            
Bruno Araújo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Bruno Covas,1            ,0            ,5,5,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,5,5,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Cabo Daciolo,0            ,1            ,0            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Cabo Sabino,5,5,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cabuçu Borges,5,5,5,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Cacá Leão,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Caetano,3      ,3      ,3      ,5,3      ,3      ,5,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,0            ,0            
Caio Narcio,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Cajar Nardes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,5,0            ,0            ,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Capitão Augusto,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Andrade,1            ,0            ,5,5,5,5,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,5,5,5,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Bezerra,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Carlos Eduardo Cadoca,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
